year,month,day,hour,minute,Temperature,Precipitation - Tipping Bucket,Precipitation - Weighing,Solar - Incoming,Solar - Outgoing,Wind Speed - Average 4.4,Wind Speed - Gust 4.4,Wind Speed - Average 2.0,Wind Speed - Gust 2.0,Wind Direction,RH,Pressure,Soil Moisture - 5 cm,Soil Moisture - 10 cm,Soil Moisture - 20 cm,Battery,Dew Point                                                                    
2015,1,1,0,0,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002
2015,1,1,0,15,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002
2015,1,1,0,30,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002
2015,1,1,0,45,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002
2015,1,1,1,0,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002
2015,1,1,1,15,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002
2015,1,1,1,30,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002
2015,1,1,1,45,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002
2015,1,1,2,0,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002
2015,1,1,2,15,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002
2015,1,1,2,30,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002
2015,1,1,2,45,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002
2015,1,1,3,0,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002
2015,1,1,3,15,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002
2015,1,1,3,30,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002
2015,1,1,3,45,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002
2015,1,1,4,0,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002,-999.90002
