Date,Time,"Temperature (S-THB 10510805:10502491-1), *C","RH (S-THB 10510805:10502491-2), %","Dew Point (S-THB 10510805:10502491-3), *C","Solar Radiation (S-LIB 10510805:10473504-1), W/m^2","Solar Radiation (S-LIB 10510805:10501164-1), W/m^2","Pressure (S-BPB 10510805:10502703-1), kPa","Water Content (S-SMC 10510805:10510598-1), m^3/m^3","2 m wind speed (S-WSA 10510805:10493567-1), km/h","2 m wind gust (S-WSA 10510805:10493567-2), km/h","Wind Direction (S-WDA 10510805:10493536-1), *","Battery (U30 BATTERY 10510805:10510805-B), V","Tipping Bucket (S-UCD 10510805:10465969-1), mm","Precipitation (Weighing) (S-UCD 10510805:10930065-1), mm","Precipitation (Weighing) (S-UCD 10510805:10930065-1), mm","4 m wind speed (S-WCA 10510805:0-1), km/h","4 m wind gust (S-WCA 10510805:0-2), km/h","Precipitation (Weighing) (S-UCD 10510805:10930065-1), mm","4 m wind gust (S-WCA 10510805:0-2), units","4 m wind speed (S-WCA 10510805:0-1), units","Gust Speed (S-WCA 10510805:0-2), m/s","Wind Speed (S-WCA 10510805:0-1), m/s","Scaled Series (S-UCD 10510805:10930065-1), mm","Counts (S-UCD 10510805:10930065-1), #","Counts (S-UCD 10510805:10930065-1), #","4.4 m wind gust (S-WSA 10510805:10490898-2), km/h","4.4 m wind speed (S-WSA 10510805:10490898-1), km/h","Water Content (S-SMC 10510805:10510595-1), m^3/m^3","Scaled Series (S-UCD 10510805:10465969-1), mm"
2020-01-01,0:16:00,-2.75,87.26,-4.577333333,1,1,100.4513333,0.3373,2.22,7.386666667,243,4.178,0,0,,,,,,,,,,,,,,,
2020-01-01,0:31:00,-2.87,87.32,-4.685333333,1,1,100.4513333,0.3373,0.9,4.7,241.8666667,4.178666667,0,0,,,,,,,,,,,,,,,
2020-01-01,0:46:00,-2.888,87.58666667,-4.662666667,1,1,100.4553333,0.3373,1.92,6.773333333,244.9333333,4.177333333,0,0,,,,,,,,,,,,,,,
2020-01-01,1:01:00,-2.858,87.53333333,-4.639333333,1,1,100.4613333,0.3373,1.2,5.133333333,252.7333333,4.176666667,0,0,,,,,,,,,,,,,,,
2020-01-01,1:16:00,-2.8,87.06666667,-4.657333333,1,1,100.4606667,0.3373,3.433333333,8.893333333,258.6,4.176666667,0,0,,,,,,,,,,,,,,,
2020-01-01,1:31:00,-2.756,86.09333333,-4.764,1,1,100.4686667,0.3373,3.373333333,8.773333333,258.6,4.176666667,0,0,,,,,,,,,,,,,,,
2020-01-01,1:46:00,-2.728,85.28666667,-4.860666667,1,1,100.4746667,0.3373,3.18,8.226666667,261.8666667,4.177333333,0,0,,,,,,,,,,,,,,,
2020-01-01,2:01:00,-2.822,85.44666667,-4.926666667,1,1,100.4833333,0.3373,2.46,6.52,258.5333333,4.177333333,0,0,,,,,,,,,,,,,,,
2020-01-01,2:16:00,-2.854,85.82666667,-4.898,1,1,100.5046667,0.3373,2.766666667,7.38,263.8666667,4.174666667,0,0,,,,,,,,,,,,,,,
2020-01-01,2:31:00,-2.818,86.16666667,-4.812,1,1,100.514,0.3373,4.52,10.70666667,257.0666667,4.176,0,0,,,,,,,,,,,,,,,
2020-01-01,2:46:00,-2.814,86.42666667,-4.766666667,1,1,100.5273333,0.3373,4.02,10.58666667,262.8666667,4.175333333,0,0,,,,,,,,,,,,,,,
2020-01-01,3:01:00,-2.82,86.77333333,-4.722,1,1,100.546,0.3373,3.66,9.306666667,263.4,4.175333333,0,0,,,,,,,,,,,,,,,
2020-01-01,3:16:00,-2.842,87.14,-4.686666667,1,1,100.5606667,0.3373,2.64,7.62,259.4666667,4.176,0,0,,,,,,,,,,,,,,,
2020-01-01,3:31:00,-2.854,87.27333333,-4.679333333,1,1,100.5613333,0.3373,2.886666667,8.466666667,261.9333333,4.173333333,0,0,,,,,,,,,,,,,,,
2020-01-01,3:46:00,-2.9,87.55333333,-4.680666667,1,1,100.5733333,0.3373,1.26,4.513333333,259,4.174,0,0,,,,,,,,,,,,,,,
2020-01-01,4:01:00,-2.912,88.52,-4.546,1,1,100.5773333,0.3373,4.086666667,9.613333333,262.4,4.174,0,0,,,,,,,,,,,,,,,
2020-01-01,4:16:00,-2.964,88.98666667,-4.526666667,1,1,100.586,0.3373,3.56,7.973333333,266.2666667,4.172666667,0,0,,,,,,,,,,,,,,,
2020-01-01,4:31:00,-3.044,89.23333333,-4.571333333,1,1,100.5933333,0.3373,3,7.44,260.3333333,4.172666667,0,0,,,,,,,,,,,,,,,
2020-01-01,4:46:00,-3.076,89.48666667,-4.571333333,1,1,100.5946667,0.3373,2.646666667,7.353333333,262.8666667,4.174666667,0,0,,,,,,,,,,,,,,,
2020-01-01,5:01:00,-3.266,89.79333333,-4.710666667,1,1,100.5866667,0.3373,1.92,6.04,262.5333333,4.174666667,0,0,,,,,,,,,,,,,,,
2020-01-01,5:16:00,-3.314,90.08666667,-4.713333333,1,1,100.5866667,0.3373,1.98,6.78,264.7333333,4.176666667,0,0,,,,,,,,,,,,,,,
2020-01-01,5:31:00,-3.224,90.72,-4.532666667,1,1,100.592,0.3373,1.5,5.306666667,252.6,4.172666667,0,0,,,,,,,,,,,,,,,
2020-01-01,5:46:00,-3.154,91.26,-4.388,1,1,100.6153333,0.3373,1.5,5.493333333,260.2666667,4.174666667,0,0,,,,,,,,,,,,,,,
2020-01-01,6:01:00,-3.19,91.88,-4.33,1,1,100.6286667,0.3373,0.84,3.973333333,265.1333333,4.174,0,0,,,,,,,,,,,,,,,
2020-01-01,6:16:00,-3.102,92.5,-4.156666667,1,1,100.6313333,0.3373,1.74,5.626666667,244.3333333,4.174,0,0,,,,,,,,,,,,,,,
2020-01-01,6:31:00,-3.156,92.87333333,-4.156666667,1,1,100.6546667,0.3373,1.08,5.293333333,245.8666667,4.172,0,0,,,,,,,,,,,,,,,
