year,month,day,hour,minute,Temperature,Precipitation - Tipping Bucket,Precipitation - Weighing,Solar - Incoming,Solar - Outgoing,Wind Speed - Average 4.4,Wind Speed - Gust 4.4,Wind Speed - Average 2.0,Wind Speed - Gust 2.0,Wind Direction,RH,Pressure,Soil Moisture - 5 cm,Soil Moisture - 10 cm,Soil Moisture - 20 cm,Battery,Dew Point                                                                    
2021,   1,   1,   0,   0,     3.55600,     0.00000,     0.00000,     1.00000,         NaN,     0.30000,     1.80000,     0.30000,     1.80000,   102.00000,    93.44667,   100.73799,         NaN,         NaN,     0.31550,     4.17333,     2.59933,
2021,   1,   1,   0,  15,     3.55600,     0.00000,     0.00000,     1.00000,         NaN,     0.30000,     1.80000,     0.30000,     1.80000,   100.00000,    93.44667,   100.73799,         NaN,         NaN,     0.31550,     4.17333,     2.59933,
2021,   1,   1,   0,  30,     3.53600,     0.00000,     0.00000,     1.00000,         NaN,     0.00000,     0.78000,     0.00000,     0.78000,   100.00000,    93.58665,   100.71333,         NaN,         NaN,     0.31550,     4.18000,     2.60267,
2021,   1,   1,   0,  45,     3.51067,     0.00000,     0.00000,     1.00000,         NaN,     0.78000,     3.36667,     0.78000,     3.36667,    98.00000,    93.78001,   100.71799,         NaN,         NaN,     0.31550,     4.17667,     2.60533,
2021,   1,   1,   1,   0,     3.50467,     0.00000,     0.00000,     1.00000,         NaN,     0.24000,     1.20000,     0.24000,     1.20000,    49.00000,    93.96667,   100.68601,         NaN,         NaN,     0.31550,     4.17400,     2.62467,
2021,   1,   1,   1,  15,     3.43600,     0.00000,     0.00000,     1.00000,         NaN,     0.06000,     0.72000,     0.06000,     0.72000,    49.00000,    94.05332,   100.68800,         NaN,         NaN,     0.31550,     4.16333,     2.57200,
2021,   1,   1,   1,  30,     3.34200,     0.00000,     0.00000,     1.00000,         NaN,     0.00000,     0.18000,     0.00000,     0.18000,    49.00000,    94.26001,   100.67601,         NaN,         NaN,     0.31550,     4.17200,     2.51067,
2021,   1,   1,   1,  45,     3.30800,     0.00000,     0.00000,     1.00000,         NaN,     0.00000,     0.06000,     0.00000,     0.06000,    49.00000,    94.37333,   100.66667,         NaN,         NaN,     0.31550,     4.17267,     2.49400,
2021,   1,   1,   2,   0,     3.36600,     0.00000,     0.20000,     1.00000,         NaN,     0.78000,     1.93333,     0.78000,     1.93333,    94.00000,    94.59332,   100.64668,         NaN,         NaN,     0.31550,     4.17133,     2.58267,
2021,   1,   1,   2,  15,     3.48600,     0.00000,     0.00000,     1.00000,         NaN,     0.00000,     0.54000,     0.00000,     0.54000,    94.00000,    94.76667,   100.66267,         NaN,         NaN,     0.31550,     4.16533,     2.72667,
2021,   1,   1,   2,  30,     3.37667,     0.00000,     0.00000,     1.00000,         NaN,     0.12000,     1.14000,     0.12000,     1.14000,   112.00000,    94.86667,   100.67868,         NaN,         NaN,     0.31550,     4.16667,     2.63400,
2021,   1,   1,   2,  45,     3.50600,     0.00000,     0.00000,     1.00000,         NaN,     0.18000,     0.84000,     0.18000,     0.84000,   114.00000,    95.08665,   100.67533,         NaN,         NaN,     0.31550,     4.16467,     2.79467,
2021,   1,   1,   3,   0,     3.52933,     0.00000,     0.00000,     1.00000,         NaN,     0.00000,     0.00000,     0.00000,     0.00000,   112.00000,    95.28001,   100.69199,         NaN,         NaN,     0.31550,     4.16467,     2.84667,
