year,month,day,hour,minute,Temperature,Precipitation - Tipping Bucket,Precipitation - Weighing,Solar - Incoming,Solar - Outgoing,Wind Speed - Average 4.4,Wind Speed - Gust 4.4,Wind Speed - Average 2.0,Wind Speed - Gust 2.0,Wind Direction,RH,Pressure,Soil Moisture - 5 cm,Soil Moisture - 10 cm,Soil Moisture - 20 cm,Battery,Dew Point                                                                    ,
2022,1,1,0,0,3.556,0,0,1,-9999.90039,0.3,1.8,0.3,1.8,102,93.44667,100.73799,         NaN,         NaN,0.3155,4.17333,2.59933,-9999.90039
2022,1,1,0,15,3.556,0,0,1,-9999.90039,0.3,1.8,0.3,1.8,100,93.44667,100.73799,         NaN,         NaN,0.3155,4.17333,2.59933,-9999.90039
2022,1,1,0,30,3.536,0,0,1,-9999.90039,0,0.78,0,0.78,100,93.58665,100.71333,         NaN,         NaN,0.3155,4.18,2.60267,-9999.90039
2022,1,1,0,45,3.51067,0,0,1,-9999.90039,0.78,3.36667,0.78,3.36667,98,93.78001,100.71799,         NaN,         NaN,0.3155,4.17667,2.60533,-9999.90039
2022,1,1,1,0,3.50467,0,0,1,-9999.90039,0.24,1.2,0.24,1.2,49,93.96667,100.68601,         NaN,         NaN,0.3155,4.174,2.62467,-9999.90039
2022,1,1,1,15,3.436,0,0,1,-9999.90039,0.06,0.72,0.06,0.72,49,94.05332,100.688,         NaN,         NaN,0.3155,4.16333,2.572,-9999.90039
2022,1,1,1,30,3.342,0,0,1,-9999.90039,0,0.18,0,0.18,49,94.26001,100.67601,         NaN,         NaN,0.3155,4.172,2.51067,-9999.90039
2022,1,1,1,45,3.308,0,0,1,-9999.90039,0,0.06,0,0.06,49,94.37333,100.66667,         NaN,         NaN,0.3155,4.17267,2.494,-9999.90039
2022,1,1,2,0,3.366,0,0.2,1,-9999.90039,0.78,1.93333,0.78,1.93333,94,94.59332,100.64668,         NaN,         NaN,0.3155,4.17133,2.58267,-9999.90039
2022,1,1,2,15,3.486,0,0,1,-9999.90039,0,0.54,0,0.54,94,94.76667,100.66267,         NaN,         NaN,0.3155,4.16533,2.72667,-9999.90039
2022,1,1,2,30,3.37667,0,0,1,-9999.90039,0.12,1.14,0.12,1.14,112,94.86667,100.67868,         NaN,         NaN,0.3155,4.16667,2.634,-9999.90039
2022,1,1,2,45,3.506,0,0,1,-9999.90039,0.18,0.84,0.18,0.84,114,95.08665,100.67533,         NaN,         NaN,0.3155,4.16467,2.79467,-9999.90039
2022,1,1,3,0,3.52933,0,0,1,-9999.90039,0,0,0,0,112,95.28001,100.69199,         NaN,         NaN,0.3155,4.16467,2.84667,-9999.90039
2022,1,1,3,15,3.41733,0,0,1,-9999.90039,0,0.42,0,0.42,91,95.34667,100.66601,         NaN,         NaN,0.3155,4.156,2.74533,-9999.90039
2022,1,1,3,30,3.42867,0,0,1,-9999.90039,0,0,0,0,91,95.46667,100.67065,         NaN,         NaN,0.3155,4.162,2.77533,-9999.90039
2022,1,1,3,45,3.41733,0,0,1,-9999.90039,0,0,0,0,91,95.57999,100.67801,         NaN,         NaN,0.3155,4.16067,2.776,-9999.90039
2022,1,1,4,0,3.392,0,0,1,-9999.90039,0,0,0,0,91,95.71334,100.67136,         NaN,         NaN,0.3155,4.16133,2.77333,-9999.90039
2022,1,1,4,15,3.47,0,0,1,-9999.90039,0,0,0,0,91,95.81334,100.68468,         NaN,         NaN,0.3155,4.15133,2.86667,-9999.90039
2022,1,1,4,30,3.39467,0,0,1,-9999.90039,0,0,0,0,91,95.97334,100.67535,         NaN,         NaN,0.3155,4.158,2.816,-9999.90039
2022,1,1,4,45,3.46533,0.2,0,1,-9999.90039,0,0.18,0,0.18,90,96.04665,100.66268,         NaN,         NaN,0.3155,4.15667,2.89333,-9999.90039
2022,1,1,5,0,3.35533,0,0,1,-9999.90039,0,0,0,0,90,96.15333,100.66068,         NaN,         NaN,0.3155,4.16,2.80133,-9999.90039
2022,1,1,5,15,3.352,0,0,1,-9999.90039,0.18,1.02,0.18,1.02,110,96.27334,100.64268,         NaN,         NaN,0.3155,4.148,2.81733,-9999.90039
