Array Identifier,Year,Julian Day,Time,Logger Battery Voltage,Net Radiometer,Incoming Shortwave Radiation,Reflected Shortwave Radiation,Relative Humidity,Ambient Air Temperature,Barometric Pressure,Wind Direction,Wind Speed,Wind Speed at Rain Gauge,Spare Three,Belfort Rain Gauge,Sonic Range Sensor for Snow Depth,Shallow Soil Temperature,Medium Depth Soil Temperature,Deep Soil Temperature,Shallow Soil Moisture,Medium Depth Soil Moisture,Deep Soil Moisture,Precipitation (GeoNor),Spare Two,Precipitation (Tipping Bucket),Driving Precipitation Count (South),Driving Precipitation Count (East),Driving Precipitation Count (North),Driving Precipitation Count (West),D4,D3,Driving Precipitation Total (South),Driving Precipitation Total (East),Driving Precipitation Total (North),Driving Precipitation Total (West)
111,2010,1,15,12.24,0,1.916,0.642,0.1,-0.144,101.12,266.5,1.207,0.523,0,0,6.999,0,0,0,0,0,0,213.1,0,0,0,0,0,0,0,0.069,9.969,9.948,3.769,0.998
111,2010,1,30,12.24,0,0,0,0.1,-0.163,101.11,269.7,0.958,0.249,0,0,6.999,0,0,0,0,0,0,213.2,0,0,0,0,0,0,0,0.069,9.969,9.948,3.769,0.998
111,2010,1,45,12.23,0,0.639,0,0.1,-0.168,101.11,285.8,1.189,0.302,0,0,6.999,0,0,0,0,0,0,213.2,0,0,0,0,0,0,0,0.069,9.969,9.948,3.769,0.998
111,2010,1,100,12.22,0,1.277,0,0.1,-0.196,101.1,258.7,1.018,0.385,0,0,6.999,0,0,0,0,0,0,213.2,0,0,0,0,0,0,0,0.069,9.969,9.948,3.769,0.998
111,2010,1,115,12.22,0,2.555,0,0.1,-0.168,101.1,282.4,0.938,0.382,0,0,6.999,0,0,0,0,0,0,213.2,0,0,0,0,0,0,0,0.069,9.969,9.948,3.769,0.998
111,2010,1,130,12.22,0,0.639,0.642,0.1,-0.212,101.1,264.3,1.012,0.45,0,0,6.999,0,0,0,0,0,0,213.2,0,0,0,0,0,0,0,0.069,9.969,9.948,3.769,0.998
111,2010,1,145,12.21,0,0,0,0.1,-0.238,101.11,273.9,1.366,0.655,0,0,6.999,0,0,0,0,0,0,213.2,0,0,0,0,0,0,0,0.069,9.969,9.948,3.769,0.998
111,2010,1,200,12.21,0,0,1.285,0.1,-0.266,101.12,276.1,1.378,0.78,0,0,6.999,0,0,0,0,0,0,213.2,0,0,0,0,0,0,0,0.069,9.969,9.948,3.769,0.998
111,2010,1,215,12.21,0,0,1.285,0.1,-0.337,101.13,272.3,1.972,1.352,0,0,6.999,0,0,0,0,0,0,213.3,0,0,0,0,0,0,0,0.069,9.969,9.948,3.769,0.998
111,2010,1,230,12.21,0,0,0.642,0.1,-0.555,101.14,279.6,2.248,1.801,0,0,6.999,0,0,0,0,0,0,213.3,0,0,0,0,0,0,0,0.069,9.969,9.948,3.769,0.998
111,2010,1,245,12.21,0,1.916,0.642,0.1,-0.735,101.16,277.9,1.546,1.027,0,0,6.999,0,0,0,0,0,0,213.2,0,0,0,0,0,0,0,0.069,9.969,9.948,3.769,0.998
111,2010,1,300,12.21,0,1.277,0,0.1,-1.079,101.17,293.9,2.159,1.717,0,0,6.999,0,0,0,0,0,0,213.3,0,0,0,0,0,0,0,0.069,9.969,9.948,3.769,0.998
111,2010,1,315,12.19,0,0.639,0,0.1,-1.37,101.18,253.9,1.647,1.192,0,0,6.999,0,0,0,0,0,0,213.3,0,0,0,0,0,0,0,0.069,9.969,9.948,3.769,0.998
111,2010,1,330,12.19,0,0.639,0.642,0.1,-1.595,101.17,280.3,1.877,1.384,0,0,6.999,0,0,0,0,0,0,213.3,0,0,0,0,0,0,0,0.069,9.969,9.948,3.769,0.998
111,2010,1,345,12.19,0,0,3.854,99.9,-1.78,101.18,288.3,2.149,1.807,0,0,6.999,0,0,0,0,0,0,213.3,0,0,0,0,0,0,0,0.069,9.969,9.948,3.769,0.998
111,2010,1,400,12.18,0,0,5.781,0.1,-1.912,101.18,282.9,1.804,1.436,0,0,6.999,0,0,0,0,0,0,213.3,0,0,0,0,0,0,0,0.069,9.969,9.948,3.769,0.998
111,2010,1,415,12.19,0,0,4.496,0.1,-2.059,101.17,299.7,1.922,1.542,0,0,6.999,0,0,0,0,0,0,213.3,0,0,0,0,0,0,0,0.069,9.969,9.948,3.769,0.998
111,2010,1,430,12.18,0,0,5.139,0.1,-2.183,101.17,271.5,1.622,1.213,0,0,6.999,0,0,0,0,0,0,213.3,0,0,0,0,0,0,0,0.069,9.969,9.948,3.769,0.998
111,2010,1,445,12.18,0,0,1.927,0.1,-2.343,101.16,255.8,1.646,1.397,0,0,6.999,0,0,0,0,0,0,213.3,0,0,0,0,0,0,0,0.069,9.969,9.948,3.769,0.998
111,2010,1,500,12.17,0,0,0.642,0.1,-2.564,101.17,295.4,2.388,1.939,0,0,6.999,0,0,0,0,0,0,213.3,0,0,0,0,0,0,0,0.069,9.969,9.948,3.769,0.998
111,2010,1,515,12.17,0,0.639,0,0.1,-3.104,101.18,283.9,2.162,1.706,0,0,6.999,0,0,0,0,0,0,213.3,0,0,0,0,0,0,0,0.069,9.969,9.948,3.769,0.998
111,2010,1,530,12.17,0,0,0.642,0.1,-3.496,101.19,0.274,2.352,1.842,0,0,6.999,0,0,0,0,0,0,213.3,0,0,0,0,0,0,0,0.069,9.969,9.948,3.769,0.998
111,2010,1,545,12.16,0,0,0,0.1,-4.057,101.19,271.5,1.862,1.514,0,0,6.999,0,0,0,0,0,0,213.4,0,0,0,0,0,0,0,0.069,9.969,9.948,3.769,0.998
111,2010,1,600,12.15,0,0,0,0.1,-4.197,101.2,260.3,2.022,1.555,0,0,6.999,0,0,0,0,0,0,213.4,0,0,0,0,0,0,0,0.069,9.969,9.948,3.769,0.998
111,2010,1,615,12.15,0,0,0,0.1,-4.423,101.2,0.283,1.61,1.297,0,0,6.999,0,0,0,0,0,0,213.4,0,0,0,0,0,0,0,0.069,9.969,9.948,3.769,0.998
111,2010,1,630,12.15,0,0,0,0.1,-4.67,101.21,276.9,1.355,1.118,0,0,6.999,0,0,0,0,0,0,213.5,0,0,0,0,0,0,0,0.069,9.969,9.948,3.769,0.998
111,2010,1,645,12.14,0,1.917,0,0.1,-4.795,101.23,286.9,1.651,1.328,0,0,6.999,0,0,0,0,0,0,213.5,0,0,0,0,0,0,0,0.069,9.969,9.948,3.769,0.998
111,2010,1,700,12.15,0,4.472,0,0.1,-4.92,101.22,279.8,1.653,1.266,0,0,6.999,0,0,0,0,0,0,213.5,0,0,0,0,0,0,0,0.069,9.969,9.948,3.769,0.998
111,2010,1,715,12.14,0,5.75,0,0.1,-5.074,101.22,266.8,1.277,1.04,0,0,6.999,0,0,0,0,0,0,213.5,0,0,0,0,0,0,0,0.069,9.969,9.948,3.769,0.998
111,2010,1,730,12.13,0,3.195,0,0.1,-5.148,101.22,284.2,1.502,1.178,0,0,6.999,0,0,0,0,0,0,213.6,0,0,0,0,0,0,0,0.069,9.969,9.948,3.769,0.998
111,2010,1,745,12.13,0,1.917,0,0.1,-5.348,101.22,263.6,1.273,0.833,0,0,6.999,0,0,0,0,0,0,213.6,0,0,0,0,0,0,0,0.069,9.969,9.948,3.769,0.998
111,2010,1,800,12.13,0,3.834,0,0.1,-5.419,101.21,252.6,1.097,0.619,0,0,6.999,0,0,0,0,0,0,213.6,0,0,0,0,0,0,0,0.069,9.969,9.948,3.769,0.998
111,2010,1,815,12.12,0,6.39,3.213,0.1,-5.485,101.21,261.5,1.397,1.092,0,0,6.999,0,0,0,0,0,0,213.6,0,0,0,0,0,0,0,0.069,9.969,9.948,3.769,0.998
111,2010,1,830,12.12,0,8.95,7.07,0.1,-5.574,101.21,257.1,1.248,0.755,0,0,6.999,0,0,0,0,0,0,213.6,0,0,0,0,0,0,0,0.069,9.969,9.948,3.769,0.998
111,2010,1,845,12.12,0,17.89,14.14,0.1,-5.59,101.21,256.5,1.261,0.864,0,0,6.999,0,0,0,0,0,0,213.7,0,0,0,0,0,0,0,0.069,9.969,9.948,3.769,0.998
111,2010,1,900,12.12,0,28.76,23.14,0.1,-5.592,101.22,251.8,1.352,0.827,0,0,6.999,0,0,0,0,0,0,213.7,0,0,0,0,0,0,0,0.069,9.969,9.948,3.769,0.998
111,2010,1,915,12.14,0,38.34,39.2,0.1,-5.726,101.22,259.3,1.362,0.487,0,0,6.999,0,0,0,0,0,0,213.8,0,0,0,0,0,0,0,0.069,9.969,9.948,3.769,0.998
111,2010,1,930,12.15,0,40.9,45.63,0.1,-5.793,101.23,254.8,1.168,0.488,0,0,6.999,0,0,0,0,0,0,213.9,0,0,0,0,0,0,0,0.069,9.969,9.948,3.769,0.998
111,2010,1,945,12.15,0,62.62,64.27,0.1,-5.864,101.23,258.1,1.48,0.799,0,0,6.999,0,0,0,0,0,0,214.1,0,0,0,0,0,0,0,0.069,9.969,9.948,3.769,0.998
111,2010,1,1000,12.18,0,76.7,83.5,0.1,-5.867,101.22,253.3,1.772,1.325,0,0,6.999,0,0,0,0,0,0,214.3,0,0,0,0,0,0,0,0.069,9.969,9.948,3.769,0.998
111,2010,1,1015,12.19,0,86.3,97.7,0.1,-5.713,101.22,260.2,1.51,0.829,0,0,6.999,0,0,0,0,0,0,214.4,0,0,0,0,0,0,0,0.069,9.969,9.948,3.769,0.998
111,2010,1,1030,12.25,0,86.3,96.4,0.1,-5.658,101.22,0.275,1.817,1.261,0,0,6.999,0,0,0,0,0,0,214.5,0,0,0,0,0,0,0,0.069,9.969,9.948,3.769,0.998
111,2010,1,1045,12.22,0,93.9,107.3,0.1,-5.586,101.22,268.6,1.778,1.273,0,0,6.999,0,0,0,0,0,0,214.5,0,0,0,0,0,0,0,0.069,9.969,9.948,3.769,0.998
111,2010,1,1100,12.36,0,123.3,140.1,0.1,-5.128,101.21,266.4,1.804,1.267,0,0,6.999,0,0,0,0,0,0,214.6,0,0,0,0,0,0,0,0.069,9.969,9.948,3.769,0.998
111,2010,1,1115,12.4,0,117.6,130.5,0.1,-4.79,101.2,280.8,1.892,1.378,0,0,6.999,0,0,0,0,0,0,214.6,0,0,0,0,0,0,0,0.069,9.969,9.948,3.769,0.998
111,2010,1,1130,12.42,0,121.4,138.8,0.1,-4.531,101.19,299.3,2.273,1.701,0,0,6.999,0,0,0,0,0,0,214.6,0,0,0,0,0,0,0,0.069,9.969,9.948,3.769,0.998
