epoch,train_loss,val_loss,lr
1,0.806651422049534,0.659309798137732,0.001
2,0.6837236199121359,0.5862128621681146,0.001
3,0.6418636685695248,0.564787649898277,0.001
4,0.6037174404784627,0.5394718016821908,0.001
5,0.577237123888409,0.5169274526020504,0.001
6,0.5533041916582261,0.5182708286503863,0.001
7,0.5321605030730646,0.5064714984221605,0.001
8,0.5145255787895691,0.4970058504705387,0.001
9,0.49642081829783935,0.5233167864152514,0.001
10,0.4828653860972761,0.592627978797526,0.001
11,0.46621575044691893,0.49150537262929167,0.001
12,0.4477411402428426,0.5056284104149772,0.001
13,0.4335493297534846,0.5233556365651706,0.001
14,0.4215109636134323,0.5316709899692283,0.001
15,0.4125714580699916,0.530072229024072,0.001
16,0.4007000863683526,0.5067750672411814,0.001
17,0.38854311556116883,0.520347422702722,0.0005
18,0.35763708995747595,0.4975131771112854,0.0005
19,0.34858137582733717,0.5138600681321737,0.0005
20,0.3424459404693023,0.5253995507299112,0.0005
21,0.33655564758059997,0.5282529605642814,0.0005
